VulnerabilityScore,Sector,Region,Size,Companies
1,Defense / Military Contractor,RoW,Large,12
1,Mining & Primary Industries,RoW,Large,395.28
1,Pharmaceuticals,RoW,Large,16.2
2,Energy,RoW,Large,468
2,Food & Agriculture,RoW,Large,4238.72
2,Telecommunications,RoW,Large,25.8
2,Utilities,RoW,Large,259.44
4,IT - Hardware,RoW,Large,37.2
4,Manufacturing,RoW,Large,3051.36
4,Real Estate / Property / Construction,RoW,Large,487.8
3,Tourism & Hospitality,RoW,Large,196.128
4,Transportation / Aviation / Aerospace,RoW,Large,1505.28
3,Business & Professional Services,RoW,Large,4830.84
5,Education,RoW,Large,108.36
4,Entertainment & Media,RoW,Large,81.4
4,Finance - Insurance,RoW,Large,667.44
4,Finance - Investment management,RoW,Large,305.64
4,Healthcare,RoW,Large,1496.04
4,IT - Software,RoW,Large,136.8
5,Retail,RoW,Large,3520
5,Finance - Banking,RoW,Large,1129.464
4,IT - Services,RoW,Large,13.6
1,Defense / Military Contractor,RoW,Premier,14.47329354
1,Mining & Primary Industries,RoW,Premier,38.49759472
1,Pharmaceuticals,RoW,Premier,1.263965611
2,Energy,RoW,Premier,3.680856202
2,Food & Agriculture,RoW,Premier,23.04161339
2,Telecommunications,RoW,Premier,3.086393091
2,Utilities,RoW,Premier,5.521284304
4,IT - Hardware,RoW,Premier,0.181679858
4,Manufacturing,RoW,Premier,57.42222978
4,Real Estate / Property / Construction,RoW,Premier,29.56285653
3,Tourism & Hospitality,RoW,Premier,6.764812879
4,Transportation / Aviation / Aerospace,RoW,Premier,16.96200181
3,Business & Professional Services,RoW,Premier,23.8221107
5,Education,RoW,Premier,5.197955716
4,Entertainment & Media,RoW,Premier,1.763045568
4,Finance - Insurance,RoW,Premier,9.24672372
4,Finance - Investment management,RoW,Premier,15.40587471
4,Healthcare,RoW,Premier,12.12856334
4,IT - Software,RoW,Premier,0.181679858
5,Retail,RoW,Premier,23.67684507
5,Finance - Banking,RoW,Premier,15.40587471
4,IT - Services,RoW,Premier,0.181679858
